file	house	id	name	frames	rate_hz	loop_start	loop_end	base_freq	encode	status
Art_Museum_3000.pcm	Art Museum	3000	A-hem!	13531	22254.5455	13529	13530	60	0x00	ok
Art_Museum_3003.pcm	Art Museum	3003	Shhhh!	11061	22254.5455	11059	11060	60	0x00	ok
Art_Museum_3042.pcm	Art Museum	3042	Camera (auto advance)	10784	22254.5455	10782	10783	60	0x00	ok
Art_Museum_3001.pcm	Art Museum	3001	Elevator	37504	22254.5455	37502	37503	60	0x00	ok
Art_Museum_3002.pcm	Art Museum	3002	Security	49664	22254.5455	49662	49663	60	0x00	ok
Art_Museum_3004.pcm	Art Museum	3004	Tired	48900	22254.5455	48898	48899	60	0x00	ok
Art_Museum_3043.pcm	Art Museum	3043	What?	52841	22254.5455	52839	52840	60	0x00	ok
Art_Museum_3044.pcm	Art Museum	3044	Warning (naval)	50886	22254.5455	50884	50885	72	0x00	ok
Art_Museum_3045.pcm	Art Museum	3045	Piece of Paper	47641	22254.5455	47639	47640	60	0x00	ok
Art_Museum_3046.pcm	Art Museum	3046	Nothin to See Here	44038	22254.5455	44036	44037	60	0x00	ok
CD_Demo_House_3000.pcm	CD Demo House	3000	Rattlesnake	36352	22254.5455	36350	36351	60	0x00	ok
CD_Demo_House_3001.pcm	CD Demo House	3001	Hawk	38112	22254.5455	38110	38111	60	0x00	ok
CD_Demo_House_3002.pcm	CD Demo House	3002	Bell 1	24448	22254.5455	24446	24447	60	0x00	ok
CD_Demo_House_3003.pcm	CD Demo House	3003	Clang Clang Clang	18423	22254.5455	18421	18422	72	0x00	ok
CD_Demo_House_3004.pcm	CD Demo House	3004	Blackbird	4256	22254.5454	4254	4255	72	0x00	ok
CD_Demo_House_3005.pcm	CD Demo House	3005	A-hem!	13531	22254.5455	13529	13530	60	0x00	ok
CD_Demo_House_3006.pcm	CD Demo House	3006	Elevator	37504	22254.5455	37502	37503	60	0x00	ok
CD_Demo_House_3042.pcm	CD Demo House	3042	Camera (auto advance)	10784	22254.5455	10782	10783	60	0x00	ok
-	CD Demo House	3007	Door Chime	3370	22254.5455	3368	3369	60	0xFE	SKIPPED: MACE compressionID=4 not implemented
