file	id	name	frames	rate_fixed	rate_hz	loop_start	loop_end	base_freq	encode
snd_1000.pcm	1000	Wall Hit	1840	0x56EE8BA3	22254.5455	1838	1839	60	0x00
snd_1001.pcm	1001	Fade In	8832	0x56EE8BA3	22254.5455	8830	8831	60	0x00
snd_1002.pcm	1002	Fade Out	9952	0x56EE8BA3	22254.5455	9950	9951	60	0x00
snd_1003.pcm	1003	Beeps	9680	0x56EE8BA3	22254.5455	9678	9679	60	0x00
snd_1004.pcm	1004	Buzzer	8032	0x56EE8BA3	22254.5455	8030	8031	60	0x00
snd_1005.pcm	1005	Ding	9728	0x56EE8BA3	22254.5455	9726	9727	60	0x00
snd_1006.pcm	1006	Energize	11904	0x56EE8BA3	22254.5455	11902	11903	60	0x00
snd_1007.pcm	1007	Follow	7296	0x56EE8BA3	22254.5455	7294	7295	60	0x00
snd_1008.pcm	1008	Miked	10880	0x56EE8BA3	22254.5455	10878	10879	60	0x00
snd_1009.pcm	1009	PowerSwitch	1264	0x56EE8BA3	22254.5455	1262	1263	60	0x00
snd_1010.pcm	1010	Bird	5312	0x56EE8BA3	22254.5455	5310	5311	60	0x00
snd_1011.pcm	1011	Cuckoo	5136	0x56EE8BA3	22254.5455	5134	5135	60	0x00
snd_1012.pcm	1012	Tik	612	0x56EE8BA3	22254.5455	610	611	60	0x00
snd_1013.pcm	1013	Tok	452	0x56EE8BA3	22254.5455	450	451	60	0x00
snd_1014.pcm	1014	Blowers On	9376	0x56EE8BA3	22254.5455	9374	9375	60	0x00
snd_1015.pcm	1015	Blowers Off	8128	0x56EE8BA3	22254.5455	8126	8127	60	0x00
snd_1016.pcm	1016	Yow!	7664	0x56EE8BA3	22254.5455	7662	7663	60	0x00
snd_1017.pcm	1017	Score Tick	644	0x56EE8BA3	22254.5455	642	643	60	0x00
snd_1018.pcm	1018	Thrust	5759	0x56EE8BA3	22254.5455	0	5758	60	0x00
snd_1019.pcm	1019	Fizzle	2816	0x56EE8BA3	22254.5455	2814	2815	60	0x00
snd_1020.pcm	1020	Fire Band	590	0x56EE8BA3	22254.5455	588	589	60	0x00
snd_1021.pcm	1021	Band Rebound	1048	0x56EE8BA3	22254.5455	1046	1047	60	0x00
snd_1022.pcm	1022	Grease Spill	4544	0x56EE8BA3	22254.5455	4542	4543	60	0x00
snd_1023.pcm	1023	A Chord	19968	0x56EE8BA3	22254.5455	19966	19967	60	0x00
snd_1024.pcm	1024	VCR	11520	0x56EE8BA3	22254.5455	11518	11519	60	0x00
snd_1025.pcm	1025	Foil Hit	3776	0x56EE8BA3	22254.5455	3774	3775	60	0x00
snd_1026.pcm	1026	Shred	1934	0x56EE8BA3	22254.5455	0	1933	60	0x00
snd_1027.pcm	1027	Toast Launch	1232	0x56EE8BA3	22254.5455	1230	1231	60	0x00
snd_1028.pcm	1028	Toast Land	2096	0x56EE8BA3	22254.5455	2094	2095	60	0x00
snd_1029.pcm	1029	MacClickOn	1332	0x56EE8BA3	22254.5455	1330	1331	60	0x00
snd_1030.pcm	1030	MacOn	12160	0x56EE8BA3	22254.5455	12158	12159	60	0x00
snd_1031.pcm	1031	MacClickOff	1184	0x56EE8BA3	22254.5455	1182	1183	60	0x00
snd_1032.pcm	1032	TVOn	9784	0x56EE8BA3	22254.5455	9782	9783	60	0x00
